# OGLE-IV I-band filter
# Asahi Spectra Co., Ltd
# measurements in 9 spots on the filter
#
#        1              2                 3             4         5         6         7         8         9        10        11        12              13         14
# wavelength[A]   mean_transmission  standard_dev     spot1     spot2     spot3     spot4     spot5     spot6     spot7     spot8     spot9          minimal    maximal 
#
      6177.92       0.001245          0.000182      0.001329  0.001139  0.001519  0.001139  0.000949  0.001519  0.001329  0.001139  0.001139         0.000949   0.001519
      6190.39       0.000465          0.000130      0.000571  0.000571  0.000571  0.000571  0.000571  0.000190  0.000381  0.000381  0.000381         0.000190   0.000571
      6202.86       0.000849          0.000204      0.000764  0.000955  0.000955  0.001146  0.000382  0.000955  0.000764  0.000955  0.000764         0.000382   0.001146
      6215.33       0.000681          0.000204      0.000767  0.000767  0.000575  0.000958  0.000383  0.000767  0.000383  0.000575  0.000958         0.000383   0.000958
      6227.80       0.000771          0.000182      0.000771  0.000963  0.000963  0.000771  0.000578  0.000963  0.000771  0.000771  0.000385         0.000385   0.000963
      6240.27       0.000755          0.000110      0.000776  0.000582  0.000776  0.000776  0.000970  0.000776  0.000582  0.000776  0.000776         0.000582   0.000970
      6252.74       0.000826          0.000154      0.000783  0.000978  0.000783  0.000783  0.000978  0.000978  0.000587  0.000978  0.000587         0.000587   0.000978
      6265.22       0.000857          0.000132      0.000791  0.000593  0.000989  0.000989  0.000989  0.000791  0.000791  0.000791  0.000989         0.000593   0.000989
      6277.70       0.001087          0.000137      0.001197  0.000998  0.001197  0.000798  0.001197  0.001197  0.000998  0.000998  0.001197         0.000798   0.001197
      6290.17       0.001164          0.000127      0.001209  0.001008  0.001411  0.001209  0.001209  0.001209  0.001008  0.001008  0.001209         0.001008   0.001411
      6302.65       0.001062          0.000160      0.000814  0.001017  0.001017  0.001220  0.001017  0.000814  0.001220  0.001220  0.001220         0.000814   0.001220
      6315.13       0.000525          0.000141      0.000616  0.000616  0.000411  0.000411  0.000411  0.000411  0.000822  0.000616  0.000411         0.000411   0.000822
