18:33:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=ultranest_plane/run0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:33:43 [ultranest] [INFO] Sampling 400 live points from prior ...
18:33:43 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:33:43 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
18:33:43 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:33:49 [ultranest] [DEBUG] iteration=1094, ncalls=12676, regioncalls=0, ndraw=40, logz=-128300.60, remainder_fraction=100.0000%, Lmin=-125162.68, Lmax=-0.46
18:33:49 [ultranest] [DEBUG] iteration=1110, ncalls=12944, regioncalls=0, ndraw=40, logz=-115439.71, remainder_fraction=100.0000%, Lmin=-115340.05, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1120, ncalls=13101, regioncalls=0, ndraw=40, logz=-112555.42, remainder_fraction=100.0000%, Lmin=-112455.46, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1138, ncalls=13451, regioncalls=0, ndraw=40, logz=-105406.36, remainder_fraction=100.0000%, Lmin=-104843.44, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1158, ncalls=13816, regioncalls=0, ndraw=40, logz=-94505.84, remainder_fraction=100.0000%, Lmin=-93866.69, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1160, ncalls=13845, regioncalls=0, ndraw=40, logz=-93736.47, remainder_fraction=100.0000%, Lmin=-93420.98, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1172, ncalls=14105, regioncalls=0, ndraw=40, logz=-90313.88, remainder_fraction=100.0000%, Lmin=-89994.14, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1189, ncalls=14352, regioncalls=0, ndraw=40, logz=-83921.02, remainder_fraction=100.0000%, Lmin=-82006.68, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1200, ncalls=14532, regioncalls=0, ndraw=40, logz=-78109.11, remainder_fraction=100.0000%, Lmin=-77497.07, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1218, ncalls=14877, regioncalls=0, ndraw=40, logz=-70938.47, remainder_fraction=100.0000%, Lmin=-70429.36, Lmax=-0.46
18:33:50 [ultranest] [DEBUG] iteration=1237, ncalls=15222, regioncalls=0, ndraw=40, logz=-62911.94, remainder_fraction=100.0000%, Lmin=-61766.97, Lmax=-0.46
