weight logl A B $log(f)$
0.000000000000000000e+00 -1.836912139494482875e+08 -4.374506299694019162e+00 3.292601544587832052e+00 -8.976097385731350187e+00
0.000000000000000000e+00 -1.807896929069084525e+08 -4.360044084967404920e+00 1.044239084460457434e+00 -5.477540913142365575e+00
0.000000000000000000e+00 -1.789304478405430019e+08 -4.838037814299685380e+00 2.368735680437672642e+01 -6.852699397209195631e+00
0.000000000000000000e+00 -1.773888004186212122e+08 -3.228614700667169046e+00 -3.765443246220334572e+01 -7.805170814760989728e+00
0.000000000000000000e+00 -1.761329936179761887e+08 -4.011481357406847081e+00 -6.766483423270102548e+00 -6.897318125078700568e+00
0.000000000000000000e+00 -1.743433189920025170e+08 -3.796913046355447463e+00 -1.389663182669077912e+01 -8.223043006106644626e+00
0.000000000000000000e+00 -1.723833427361105084e+08 5.783334231801575243e+00 7.572251518473159138e+00 -7.117115485096393357e+00
0.000000000000000000e+00 -1.687896045491033196e+08 -4.335747714099587036e+00 -4.611467614169377782e+00 -4.686903882858998394e+00
0.000000000000000000e+00 -1.682387936153632402e+08 6.465938608908452068e+00 -2.136346221007269008e+01 -8.161516268078429448e+00
0.000000000000000000e+00 -1.681410221373397708e+08 -4.331552176152734468e+00 1.037038170059872755e+01 -8.825648575395398154e+00
0.000000000000000000e+00 -1.673372584005650282e+08 -3.207772990293518589e+00 -3.272692419680658560e+01 -8.720895040891402772e+00
0.000000000000000000e+00 -1.660526243851470053e+08 6.292008866778655118e+00 2.702283742238130060e+00 -4.560581050808410808e+00
0.000000000000000000e+00 -1.649249746545181870e+08 7.621781598750317244e+00 -1.433466909492453922e+01 -3.965795414021751952e+00
0.000000000000000000e+00 -1.646070780208677649e+08 -3.722834497211620075e+00 -1.133907775699628218e+01 -6.968275186684959266e+00
0.000000000000000000e+00 -1.629508425959952474e+08 -4.976158592443603368e+00 3.833703995591184821e+01 -7.779324781827356539e+00
0.000000000000000000e+00 -1.624285440200536549e+08 -3.871222903420756367e+00 -4.250115615464473251e+00 -7.233465851961634385e+00
0.000000000000000000e+00 -1.613198419453781843e+08 5.502452784395883256e+00 1.195236573905980038e+01 -9.122169360023992368e+00
0.000000000000000000e+00 -1.598034930980041027e+08 5.289510410379827832e+00 1.931875933574861648e+01 -8.557348352099824140e+00
0.000000000000000000e+00 -1.564985751923408508e+08 5.697813187543545155e+00 2.853565479052370790e+00 -5.899719607273936184e+00
0.000000000000000000e+00 -1.552853163184208274e+08 5.788191316796130081e+00 -2.692967869823561955e+00 -8.388089901591214925e+00
0.000000000000000000e+00 -1.497729646298354268e+08 -4.252682852781296319e+00 1.818236185641580249e+01 -9.163087643703798690e+00
0.000000000000000000e+00 -1.489884943313517570e+08 -3.422516772653773742e+00 -1.427757101839563347e+01 -6.165863882929311757e+00
0.000000000000000000e+00 -1.464532147423299253e+08 5.563025619215542505e+00 6.661666380848600966e-01 -9.087989054082930451e+00
0.000000000000000000e+00 -1.456928117524017692e+08 5.700513029563506251e+00 1.446493636720532550e+00 -5.070008910785372969e+00
0.000000000000000000e+00 -1.455186214123670459e+08 -3.946543564838220775e+00 8.927135454564620431e+00 -9.428995677183163338e+00
0.000000000000000000e+00 -1.435257067604981959e+08 -3.052556827837578091e+00 -2.452554506028770120e+01 -7.661043159069121700e+00
0.000000000000000000e+00 -1.422300230145915151e+08 4.711035681315070889e+00 3.109893714555768440e+01 -7.761144710403135250e+00
0.000000000000000000e+00 -1.417171672164921761e+08 -3.189038811097653081e+00 -1.817201409468050599e+01 -7.153206099519984207e+00
0.000000000000000000e+00 -1.414158153086913824e+08 -3.480407398082373760e+00 -6.586646000430903314e+00 -9.691579615231074030e+00
