A B $log(f)$
3.028760004302775144e-01 2.404363295620852625e+01 -2.090488642669544816e+00
3.920077328080413537e-01 2.067509643148889609e+01 -1.988555005962473032e+00
5.220954107776005770e-01 1.570898722080306698e+01 -1.140049099584913961e+00
5.620845000355938481e-01 1.399399637831859877e+01 -1.808273561459337486e+00
5.081290980823212067e-01 1.617549292147590734e+01 -2.199540366397169322e+00
5.559152494543102563e-01 1.414063337782420149e+01 -1.628862503019780306e+00
8.458925043500276075e-01 3.005463594742110445e+00 -1.503969156020769304e+00
3.137466732447116158e-01 2.354282573029716730e+01 -1.608799647338246430e+00
6.446473697289452076e-01 1.086574386844457507e+01 -2.167764363152709706e+00
4.698197228383964585e-01 1.763997713243106347e+01 -2.345284576821560663e+00
4.106501611675898999e-01 1.983084166518914060e+01 -1.890675758491454417e+00
7.755187161900032322e-01 5.821266060685530874e+00 -1.749162195604728964e+00
4.856517798829322885e-01 1.689167625125125483e+01 -2.047061292171027169e+00
3.426893266049866327e-01 2.258528382828540515e+01 -2.412551993396143679e+00
2.902373174914671949e-01 2.448024606432744577e+01 -1.902468591884602489e+00
4.860164431251927653e-01 1.703341724297850135e+01 -2.261886100319269843e+00
5.565711791656013929e-01 1.428966667417461167e+01 -2.430742664378071183e+00
2.683265540821171413e-01 2.553188997714109121e+01 -1.801237219013607671e+00
4.404489224346601617e-01 1.872151107017793237e+01 -1.618212739626352814e+00
3.895223240539849030e-01 2.073772432506447672e+01 -2.625752227253742355e+00
4.934042299454439728e-01 1.670681021116145359e+01 -2.158756659931478694e+00
3.895286754680871155e-01 2.071306623243401646e+01 -2.108720602947866674e+00
3.178468116892254614e-01 2.347942900861894344e+01 -1.770706238860123349e+00
5.374732535192627836e-01 1.506916428438514544e+01 -2.073260544228810787e+00
3.682949283485914549e-01 2.143001556354786175e+01 -1.682327317640229580e+00
5.321405833718717560e-01 1.516968608268972218e+01 -2.130081293979665169e+00
4.660126539995523842e-01 1.765180978179894566e+01 -2.119742945362784958e+00
3.720759540956528610e-01 2.145363161168098998e+01 -2.141492719393591315e+00
3.606087948421627942e-01 2.175674552780630222e+01 -1.695668442170511270e+00
4.322690159967343959e-01 1.922549896308953521e+01 -1.516316517104483452e+00
3.570130974519614142e-01 2.213521310773722917e+01 -1.952613821950512474e+00
3.569435623715477846e-01 2.213013953298229808e+01 -1.644710304607450269e+00
3.924058267017738189e-01 2.065104057831943862e+01 -2.101295075225517728e+00
4.215242488152544098e-01 1.942498765008060246e+01 -1.556400552497102296e+00
5.546250187756012195e-01 1.426077998333798291e+01 -1.895466894471574903e+00
5.793044302410148561e-01 1.341605056240466354e+01 -2.053423040251219689e+00
3.932612388245111390e-01 2.068059589986211932e+01 -2.109435070135577739e+00
4.438758227573291748e-01 1.866547779297641085e+01 -1.972284879652642431e+00
4.801864209922612758e-01 1.719833241009303748e+01 -1.924071295905781298e+00
5.167145223917284369e-01 1.589535870535080164e+01 -1.165968701068390345e+00
3.731114254509115824e-01 2.136161922460867402e+01 -1.913830720636394034e+00
4.168753504104358854e-01 1.971551957905119679e+01 -1.804271783848152566e+00
9.398280865679105034e-01 -6.575473462993173257e-01 -1.329078449792964634e+00
4.735825646780256193e-01 1.748553189985624812e+01 -2.128151450042611081e+00
5.615695144752521628e-01 1.405038896188969488e+01 -1.863147685631830086e+00
6.193824311898215029e-01 1.172579731705503292e+01 -1.738084194147258899e+00
3.584963545604331614e-01 2.191102174989052287e+01 -1.797854023498347331e+00
5.401430265505453576e-01 1.505476275936767649e+01 -1.253492694364213733e+00
3.502644310677425210e-01 2.227857642096496704e+01 -1.955576391108127865e+00
5.220929347380103280e-01 1.560335051225027314e+01 -2.290500216326992522e+00
5.251514014091469562e-01 1.549391348280569503e+01 -1.908590119023173770e+00
7.902628930519064454e-01 5.309486534468270236e+00 -1.889908262507713488e+00
5.799854850341148449e-01 1.319657185418672896e+01 -1.575357937540974973e+00
3.167032664356632665e-01 2.367177545734324440e+01 -1.778871590867449726e+00
4.232084606409607375e-01 1.942918463830789477e+01 -2.467059256796531486e+00
7.279086210628999964e-01 7.724056663198339834e+00 -1.766775605912386027e+00
3.721172922650346493e-01 2.139557719263730462e+01 -2.062918488977377507e+00
4.987989263740111312e-01 1.646230678243974666e+01 -1.751814766506804233e+00
4.274036820999640440e-01 1.928122727205899167e+01 -2.106611313510175165e+00
-6.608902776454073091e-02 3.834647804207340016e+01 -8.096023102851130915e-01
4.139337549880153233e-01 1.975198219272081701e+01 -1.949559745301431946e+00
2.333135793180947104e-01 2.680498202223964199e+01 -2.064580878429022270e+00
5.145277451481629072e-01 1.593241512034958163e+01 -2.165765868741046596e+00
4.569269602244059314e-01 1.811884300490567057e+01 -2.438316197737941948e+00
3.050249148324795101e-01 2.411952460631054862e+01 -2.049185341768434476e+00
2.138642569306448138e-01 2.746611402371219413e+01 -2.235113076997096826e+00
