weight logl A B $log(f)$
0.000000000000000000e+00 -2.846419617409721613e+08 9.093224558396200141e-01 2.637938931430267031e-01 5.022356855084484373e-01
0.000000000000000000e+00 -2.843555291111567020e+08 1.763035404691475350e-01 6.547854414067404427e-01 5.407969726534166410e-01
0.000000000000000000e+00 -2.835241956489324570e+08 2.276171458950479176e-01 2.836175979811685899e-01 5.118942703362615587e-01
0.000000000000000000e+00 -2.802368426460800767e+08 2.591831728268438884e-01 1.060701337469382999e-01 4.559828498198241764e-01
0.000000000000000000e+00 -2.792205202333939672e+08 1.934193001265946954e-01 7.009068474493714840e-01 4.879954891387665583e-01
0.000000000000000000e+00 -2.789159438831275105e+08 2.505009605874480849e-01 2.527070020612168788e-01 3.055185053018227848e-02
0.000000000000000000e+00 -2.788624662162606716e+08 9.125845252190537549e-01 1.361034857375608143e-01 4.706790264234713694e-01
0.000000000000000000e+00 -2.782014695008996725e+08 8.648641870544244714e-01 5.226043710298713396e-01 2.693755255147897154e-01
0.000000000000000000e+00 -2.718596507014383674e+08 8.921648212013466583e-01 5.872312967006020346e-01 5.551457831651670505e-01
0.000000000000000000e+00 -2.707483382411809564e+08 1.936324284193519096e-01 8.126936816869186897e-01 4.366543684371838596e-01
0.000000000000000000e+00 -2.703937598988849521e+08 2.569584266698438091e-01 2.368603588853585018e-01 2.652024109358800397e-01
0.000000000000000000e+00 -2.695531703650444746e+08 2.406444375815294245e-01 3.609109696310133231e-01 4.407158495334733139e-01
0.000000000000000000e+00 -2.655064023663453162e+08 2.757163239430558965e-01 6.322095056531684687e-02 4.084105455413351571e-01
0.000000000000000000e+00 -2.615117025199087560e+08 9.539172518137000178e-01 6.521635053970723517e-01 6.184930129337761207e-01
0.000000000000000000e+00 -2.604819264043352008e+08 2.288552401952498594e-01 5.428673690299109511e-01 4.162909561197293273e-01
0.000000000000000000e+00 -2.596335467463076711e+08 8.307202661955548351e-01 7.466126319091048735e-01 3.697100292063909555e-02
0.000000000000000000e+00 -2.584987424527869821e+08 1.852914432517278609e-01 9.480082552792603590e-01 4.556968504025674660e-01
0.000000000000000000e+00 -2.579472683583114743e+08 2.063861313402415298e-03 5.873240306155506074e-01 6.636229171949276084e-01
0.000000000000000000e+00 -2.538654413190210760e+08 1.972173581729795844e-01 9.120185088374509474e-01 1.549898063942707349e-01
0.000000000000000000e+00 -2.507360837573581636e+08 8.323563862388486667e-01 6.830461623942727378e-01 3.294858185228883851e-01
0.000000000000000000e+00 -2.490083554952212274e+08 9.908132760480470314e-01 3.900567896386440969e-01 6.288237518480698229e-01
0.000000000000000000e+00 -2.453483760911735296e+08 2.527925764929365160e-01 4.230473439851092365e-01 2.463732153541912107e-01
0.000000000000000000e+00 -2.420199096765703261e+08 2.093453623664157937e-01 8.605674808307698376e-01 3.298510614833828347e-01
0.000000000000000000e+00 -2.418724563217089474e+08 8.395897368138296457e-01 5.891458619568307187e-01 4.337571941658138197e-01
0.000000000000000000e+00 -2.408955170494837165e+08 7.961545731855649288e-01 9.711670932679414836e-01 6.163959026819043618e-02
0.000000000000000000e+00 -2.387045419911640882e+08 8.564526402241078307e-01 3.736565002112369749e-01 6.711377920980532430e-02
0.000000000000000000e+00 -2.375862381835309863e+08 2.383040781492556937e-01 6.039885434394269836e-01 3.548627269975747067e-01
0.000000000000000000e+00 -2.261912464854093194e+08 8.706533210061019323e-01 5.869087080701056447e-01 5.686523731888027955e-01
0.000000000000000000e+00 -2.231192012654732168e+08 2.153042530047218905e-01 9.222990306302754071e-01 1.866096860372505883e-01
0.000000000000000000e+00 -2.213615007135954201e+08 2.503477870828457741e-01 5.929977651943415529e-01 2.567713830205886616e-01
0.000000000000000000e+00 -2.195412113143624365e+08 7.986709194931607136e-02 8.153765581063172618e-01 6.414573377357429829e-01
0.000000000000000000e+00 -2.181449693316952586e+08 7.824244708873405729e-01 9.648914963338072193e-01 2.426814827368566352e-01
0.000000000000000000e+00 -2.172898839779494703e+08 2.149984374353623995e-01 9.620558004428985122e-01 1.099475563850988991e-01
0.000000000000000000e+00 -2.165569565298061371e+08 2.590798816116497427e-01 2.049835058103922913e-01 5.564665996298149286e-01
0.000000000000000000e+00 -2.164449601206305623e+08 2.252123269589751953e-01 8.641997811689678954e-01 3.338529238960714629e-01
0.000000000000000000e+00 -2.163096618032857776e+08 2.535239612579425206e-01 5.230378116024040347e-01 4.760481327987811095e-01
0.000000000000000000e+00 -2.104768199036575258e+08 8.743654685466532017e-01 2.458237818814590359e-02 1.768364947947053123e-01
0.000000000000000000e+00 -2.103923656097613573e+08 8.153897010116977206e-01 9.629098255740110579e-01 5.623591255144791967e-01
0.000000000000000000e+00 -2.100043280181095004e+08 8.216497609727387852e-01 5.322351440378544352e-01 3.229303055580803189e-02
0.000000000000000000e+00 -2.024135709098907709e+08 9.644000377805845847e-01 8.071880782238249896e-02 6.199386987111952241e-01
0.000000000000000000e+00 -1.988290217797028422e+08 2.387823907615607144e-01 8.476665639462098722e-01 3.225654215985149786e-01
