logz logzerr logvol nlive logl logwt insert_order
-3.627390418315882087e+08 1.785468974345582072e+06 -1.875000000000001110e-01 4.000000000000000000e+02 -3.626884122180969715e+08 -3.626884183983112574e+08 3.900000000000000133e-01
-3.626884183983112574e+08 2.675568767574521480e+05 -1.900000000000001132e-01 4.000000000000000000e+02 -3.590468356657140255e+08 -3.590468418484283090e+08 1.465000000000000080e+00
-3.590468418484283090e+08 1.722668223172092345e+06 -1.925000000000001155e-01 4.000000000000000000e+02 -3.587937946647558212e+08 -3.587938008499701023e+08 3.549999999999999822e-01
-3.587938008499701023e+08 1.045252930116600008e+06 -1.950000000000001177e-01 4.000000000000000000e+02 -3.581711918743041158e+08 -3.581711980620183945e+08 1.864999999999999991e+00
-3.581711980620183945e+08 3.118743967265574029e+05 -1.975000000000001199e-01 4.000000000000000000e+02 -3.578523215522586107e+08 -3.578523277424728870e+08 1.620000000000000107e+00
-3.578523277424728870e+08 1.503168366873498890e+05 -2.000000000000001221e-01 4.000000000000000000e+02 -3.470135377273665667e+08 -3.470135439200808406e+08 1.844999999999999973e+00
-3.470135439200808406e+08 3.083812548282038420e+06 -2.025000000000001243e-01 4.000000000000000000e+02 -3.407934242315689325e+08 -3.407934304267832041e+08 7.900000000000000355e-01
-3.407934304267832041e+08 3.066557654188367072e+06 -2.050000000000001266e-01 4.000000000000000000e+02 -3.364165402870870233e+08 -3.364165464848012924e+08 1.389999999999999902e+00
-3.364165464848012924e+08 4.347966241909202188e+06 -2.075000000000001288e-01 4.000000000000000000e+02 -3.348507946848735213e+08 -3.348508008850877881e+08 1.379999999999999893e+00
-3.348508008850877881e+08 3.861387069745834917e+06 -2.100000000000001310e-01 4.000000000000000000e+02 -3.326326357231896520e+08 -3.326326419259039164e+08 1.544999999999999929e+00
-3.326326419259039164e+08 4.536456398212827742e+06 -2.125000000000001332e-01 4.000000000000000000e+02 -3.308658100015748739e+08 -3.308658162067891359e+08 1.209999999999999964e+00
-3.308658162067891359e+08 2.861908450857987162e+06 -2.150000000000001354e-01 4.000000000000000000e+02 -3.243147495871558785e+08 -3.243147557948701382e+08 5.250000000000000222e-01
-3.243147557948701382e+08 5.014652967709269375e+06 -2.175000000000001377e-01 4.000000000000000000e+02 -3.206461664230722189e+08 -3.206461726332864761e+08 1.955000000000000071e+00
-3.206461726332864761e+08 6.165960614296697080e+06 -2.200000000000001399e-01 4.000000000000000000e+02 -3.140586347638209462e+08 -3.140586409765352607e+08 1.030000000000000027e+00
-3.140586409765352607e+08 7.442940981681425124e+06 -2.225000000000001421e-01 4.000000000000000000e+02 -3.102415123524238467e+08 -3.102415185676381588e+08 4.000000000000000222e-01
-3.102415185676381588e+08 1.799408798085354734e+06 -2.250000000000001443e-01 4.000000000000000000e+02 -3.085803866235627532e+08 -3.085803928412770629e+08 5.200000000000000178e-01
-3.085803928412770629e+08 1.981732145613032393e+06 -2.275000000000001465e-01 4.000000000000000000e+02 -3.085605531242059469e+08 -3.085605593444202542e+08 1.090000000000000080e+00
-3.085605593444202542e+08 1.546847493066000054e+06 -2.300000000000001488e-01 4.000000000000000000e+02 -3.049863881314535737e+08 -3.049863943541678786e+08 1.054999999999999938e+00
-3.049863943541678786e+08 1.687222396390395472e+06 -2.325000000000001510e-01 4.000000000000000000e+02 -3.028503970511738062e+08 -3.028504032763881087e+08 4.199999999999999845e-01
-3.028504032763881087e+08 1.633966883950675605e+06 -2.350000000000001532e-01 4.000000000000000000e+02 -2.984564609174973369e+08 -2.984564671452116370e+08 1.715000000000000080e+00
-2.984564671452116370e+08 1.902629382273421623e+06 -2.375000000000001554e-01 4.000000000000000000e+02 -2.943497257334752083e+08 -2.943497319636895061e+08 1.360000000000000098e+00
-2.943497319636895061e+08 2.688424608339770231e+06 -2.400000000000001577e-01 4.000000000000000000e+02 -2.941092970648516417e+08 -2.941093032975659370e+08 1.090000000000000080e+00
-2.941093032975659370e+08 1.192721513775739586e+06 -2.425000000000001599e-01 4.000000000000000000e+02 -2.934098389453895092e+08 -2.934098451806038022e+08 1.429999999999999938e+00
-2.934098451806038022e+08 3.765689368582513416e+05 -2.450000000000001621e-01 4.000000000000000000e+02 -2.916588617433407903e+08 -2.916588679810550809e+08 1.695000000000000062e+00
-2.916588679810550809e+08 6.525505025036222069e+05 -2.475000000000001643e-01 4.000000000000000000e+02 -2.846419617409721613e+08 -2.846419679811864495e+08 1.040000000000000036e+00
-2.846419679811864495e+08 3.754686471223452594e+06 -2.500000000000001665e-01 4.000000000000000000e+02 -2.843555291111567020e+08 -2.843555353538709879e+08 4.349999999999999978e-01
-2.843555353538709879e+08 3.039509102576857898e+06 -2.525000000000001688e-01 4.000000000000000000e+02 -2.835241956489324570e+08 -2.835242018941467404e+08 8.750000000000000000e-01
-2.835242018941467404e+08 2.676226175412645098e+06 -2.550000000000001710e-01 4.000000000000000000e+02 -2.802368426460800767e+08 -2.802368488937943578e+08 2.899999999999999800e-01
-2.802368488937943578e+08 3.611283844733062666e+06 -2.575000000000001732e-01 4.000000000000000000e+02 -2.792205202333939672e+08 -2.792205264836082458e+08 1.225000000000000089e+00
-2.792205264836082458e+08 1.521837808607715415e+06 -2.600000000000001754e-01 4.000000000000000000e+02 -2.789159438831275105e+08 -2.789159501358417869e+08 3.850000000000000089e-01
-2.789159501358417869e+08 4.880994797786517302e+05 -2.625000000000001776e-01 4.000000000000000000e+02 -2.788624662162606716e+08 -2.788624724714749455e+08 4.499999999999999833e-02
-2.788624724714749455e+08 3.765176131918979809e+05 -2.650000000000001799e-01 4.000000000000000000e+02 -2.782014695008996725e+08 -2.782014757586139441e+08 5.799999999999999600e-01
-2.782014757586139441e+08 3.398787205350838485e+05 -2.675000000000001821e-01 4.000000000000000000e+02 -2.718596507014383674e+08 -2.718596569616526365e+08 1.729999999999999982e+00
-2.718596569616526365e+08 2.949098860524296295e+06 -2.700000000000001843e-01 4.000000000000000000e+02 -2.707483382411809564e+08 -2.707483445038952231e+08 1.650000000000000078e-01
-2.707483445038952231e+08 5.238771535615311004e+05 -2.725000000000001865e-01 4.000000000000000000e+02 -2.703937598988849521e+08 -2.703937661640992165e+08 3.699999999999999956e-01
-2.703937661640992165e+08 5.702446338468838949e+05 -2.750000000000001887e-01 4.000000000000000000e+02 -2.695531703650444746e+08 -2.695531766327587366e+08 5.350000000000000311e-01
-2.695531766327587366e+08 4.906292389141250169e+05 -2.775000000000001910e-01 4.000000000000000000e+02 -2.655064023663453162e+08 -2.655064086365596056e+08 1.995000000000000107e+00
-2.655064086365596056e+08 2.017701735250381986e+06 -2.800000000000001932e-01 4.000000000000000000e+02 -2.615117025199087560e+08 -2.615117087926230431e+08 1.439999999999999947e+00
-2.615117087926230431e+08 3.443891120178131852e+06 -2.825000000000001954e-01 4.000000000000000000e+02 -2.604819264043352008e+08 -2.604819326795494854e+08 1.774999999999999911e+00
-2.604819326795494854e+08 4.014447090778139886e+06 -2.850000000000001976e-01 4.000000000000000000e+02 -2.596335467463076711e+08 -2.596335530240219533e+08 8.750000000000000000e-01
-2.596335530240219533e+08 2.344794249712543387e+05 -2.875000000000001998e-01 4.000000000000000000e+02 -2.584987424527869821e+08 -2.584987487330012619e+08 1.449999999999999956e+00
-2.584987487330012619e+08 5.594658157055150950e+05 -2.900000000000002021e-01 4.000000000000000000e+02 -2.579472683583114743e+08 -2.579472746410257518e+08 1.700000000000000122e-01
-2.579472746410257518e+08 7.773144723118225811e+05 -2.925000000000002043e-01 4.000000000000000000e+02 -2.538654413190210760e+08 -2.538654476042353511e+08 5.600000000000000533e-01
-2.538654476042353511e+08 2.449323858291269746e+06 -2.950000000000002065e-01 4.000000000000000000e+02 -2.507360837573581636e+08 -2.507360900450724363e+08 7.299999999999999822e-01
-2.507360900450724363e+08 3.358560398513737135e+06 -2.975000000000002087e-01 4.000000000000000000e+02 -2.490083554952212274e+08 -2.490083617854355276e+08 5.699999999999999512e-01
-2.490083617854355276e+08 2.575376603749078233e+06 -3.000000000000002109e-01 4.000000000000000000e+02 -2.453483760911735296e+08 -2.453483823838878274e+08 1.159999999999999920e+00
-2.453483823838878274e+08 3.759867231792147271e+06 -3.025000000000002132e-01 4.000000000000000000e+02 -2.420199096765703261e+08 -2.420199159717846215e+08 1.784999999999999920e+00
-2.420199159717846215e+08 2.062505705933413468e+06 -3.050000000000002154e-01 4.000000000000000000e+02 -2.418724563217089474e+08 -2.418724626194232404e+08 1.389999999999999902e+00
-2.418724626194232404e+08 1.958616286417514551e+06 -3.075000000000002176e-01 4.000000000000000000e+02 -2.408955170494837165e+08 -2.408955233496980071e+08 1.070000000000000062e+00
-2.408955233496980071e+08 2.209590523545419797e+06 -3.100000000000002198e-01 4.000000000000000000e+02 -2.387045419911640882e+08 -2.387045482938783765e+08 4.099999999999999756e-01
-2.387045482938783765e+08 2.745974811297852546e+06 -3.125000000000002220e-01 4.000000000000000000e+02 -2.375862381835309863e+08 -2.375862444887452722e+08 3.649999999999999911e-01
-2.375862444887452722e+08 3.185020298349543009e+06 -3.150000000000002243e-01 4.000000000000000000e+02 -2.261912464854093194e+08 -2.261912527931236029e+08 8.599999999999999867e-01
-2.261912527931236029e+08 8.610049626387760169e-01 -3.175000000000002265e-01 4.000000000000000000e+02 -2.231192012654732168e+08 -2.231192075756874979e+08 1.159999999999999920e+00
-2.231192075756874979e+08 1.330233918952907901e+06 -3.200000000000002287e-01 4.000000000000000000e+02 -2.213615007135954201e+08 -2.213615070263096988e+08 5.000000000000000104e-03
-2.213615070263096988e+08 1.788087736020357814e+06 -3.225000000000002309e-01 4.000000000000000000e+02 -2.195412113143624365e+08 -2.195412176295767128e+08 1.314999999999999947e+00
-2.195412176295767128e+08 2.462896621815459803e+06 -3.250000000000002331e-01 4.000000000000000000e+02 -2.181449693316952586e+08 -2.181449756494095325e+08 1.534999999999999920e+00
-2.181449756494095325e+08 2.221723237555589061e+06 -3.275000000000002354e-01 4.000000000000000000e+02 -2.172898839779494703e+08 -2.172898902981637716e+08 1.425000000000000044e+00
-2.172898902981637716e+08 1.121819582909827121e+06 -3.300000000000002376e-01 4.000000000000000000e+02 -2.165569565298061371e+08 -2.165569628525204360e+08 7.650000000000000133e-01
-2.165569628525204360e+08 6.711567938378335675e+05 -3.325000000000002398e-01 4.000000000000000000e+02 -2.164449601206305623e+08 -2.164449664458448589e+08 2.999999999999999889e-01
-2.164449664458448589e+08 4.660677656067619100e+05 -3.350000000000002420e-01 4.000000000000000000e+02 -2.163096618032857776e+08 -2.163096681310000718e+08 7.249999999999999778e-01
-2.163096681310000718e+08 5.029404766607584897e+05 -3.375000000000002442e-01 4.000000000000000000e+02 -2.104768199036575258e+08 -2.104768262338718176e+08 1.864999999999999991e+00
-2.104768262338718176e+08 2.525694746079161298e+06 -3.400000000000002465e-01 4.000000000000000000e+02 -2.103923656097613573e+08 -2.103923719424756467e+08 6.800000000000000488e-01
-2.103923719424756467e+08 1.629486620397463674e+06 -3.425000000000002487e-01 4.000000000000000000e+02 -2.100043280181095004e+08 -2.100043343533237875e+08 1.655000000000000027e+00
-2.100043343533237875e+08 1.719793741932363017e+06 -3.450000000000002509e-01 4.000000000000000000e+02 -2.024135709098907709e+08 -2.024135772476050556e+08 1.195000000000000062e+00
-2.024135772476050556e+08 4.658861097638223320e+06 -3.475000000000002531e-01 4.000000000000000000e+02 -1.988290217797028422e+08 -1.988290281199171245e+08 1.784999999999999920e+00
-1.988290281199171245e+08 3.195600306584334467e+06 -3.500000000000002554e-01 4.000000000000000000e+02 -1.974236053735355735e+08 -1.974236117162498534e+08 1.165000000000000036e+00
